country,founded,id,industry,linkedin_url,locality,name,region,size,website
sri lanka,2022,ajry-reality,real estate,linkedin.com/company/ajry-reality,colombo,goldfinch reality,western,10-Jan,
sri lanka,2022,a-s-corporate-services-pvt-ltd,,linkedin.com/company/a-s-corporate-services-pvt-ltd,colombo,a&s corporate services (pvt) ltd,western,10-Jan,
sri lanka,2022,codices-dev,,linkedin.com/company/codices-dev,colombo,codices dev,western,10-Jan,codices.dev
sri lanka,2022,axleglobal,,linkedin.com/company/axleglobal,colombo,axle global,western,10-Jan,
sri lanka,2022,payzy,financial services,linkedin.com/company/payzy,,payzy,western,10-Jan,payzy.lk
sri lanka,2022,writer-bay,higher education,linkedin.com/company/writer-bay,kurunegala,writerhub,north western,10-Jan,
sri lanka,2022,fyrap,,linkedin.com/company/fyrap,colombo,fyrap,western,10-Jan,fyrap.com
sri lanka,2022,dizayn-space-studio,graphic design,linkedin.com/company/dizayn-space-studio,ratnapura,dizayn space studio,sabaragamuwa,10-Jan,
sri lanka,2022,navya-colombo,,linkedin.com/company/navya-colombo,colombo,navya colombo,western,10-Jan,
sri lanka,2022,inin-technologies,,linkedin.com/company/inin-technologies,colombo,inin technologies,western,10-Jan,inintechnologies.com
sri lanka,2022,minipura-products,,linkedin.com/company/minipura-products,kiriella,minipura products,sabaragamuwa,10-Jan,minipura-products.business.site
sri lanka,2022,innovatwin,,linkedin.com/company/innovatwin,maharagama,innovatwin,western,Nov-50,innovatwin.com
sri lanka,2022,teamwedoevents,events services,linkedin.com/company/teamwedoevents,colombo,we do events,western,Nov-50,wedoevents.lk
sri lanka,2022,globalsportslk,,linkedin.com/company/globalsportslk,colombo,global sports management,western,10-Jan,facebook.com/globalsportslk
sri lanka,2022,code4clump,,linkedin.com/company/code4clump,colombo,code4clump,western,10-Jan,code4clump.com
sri lanka,2022,focused-lk,information services,linkedin.com/company/focused-lk,kandy,focused.lk,central,10-Jan,hellofocusedlk.mystrikingly.com
sri lanka,2022,lokavidu-tv,media production,linkedin.com/company/lokavidu-tv,colombo,lokavidu tv,western,10001+,facebook.com/lokavidutv
